영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명,한글도시명
A Coruna Airport,아코루냐 공항,LCG,LECO,유럽,Spain,스페인,ACoruna,아코루냐
Aalborg Airport,올보르 공항,AAL,EKYT,유럽,Denmark,덴마크,Aalborg,올보르
Aarhus Airport,오르후스 공항,AAR,EKAH,유럽,Denmark,덴마크,Aarhus,오르후스
Aasiaat Airport,아시아앗 공항,JEG,BGAA,유럽,Greenland,그린란드,Aasiaat,아시아앗
Abadan Airport,아바단 공항,ABD,OIAA,중동,Iran,이란,Abadan,아바단
Abaiang Airport,아바이앙 공항,ABF,NGAB,아시아태평양,Kiribati,키리바시,Abaiang,아바이앙
Abakan Airport,아바칸 공항,ABA,UNAA,유럽,Russian Federation,러시아,Abakan,아바칸
Abbotsford International Airport,애버츠퍼드 국제공항,YXX,CYXX,북아메리카,Canada,캐나다,Abbotsford,애버츠퍼드
Abecher Airport,아베셰 공항,AEH,FTTC,아프리카,Chad,차드,Abeche,아베셰
Abemama Airport,아베마마 아톨 공항,AEA,NGTB,아시아태평양,Kiribati,키리바시,Abemama,아베마마
Aberdeen International Airport,애버딘 국제공항,ABZ,EGPD,유럽,United Kingdom,영국,Aberdeen,애버딘
Aberdeen Regional Airport,애버딘 지역 공항,ABR,KABR,북아메리카,United States of America,미국,Aberdeen,애버딘
Abha Airport,아바 공항,AHB,OEAB,중동,Saudi Arabia,사우디아라비아,Abha,아바
Abidjan Felix Houphouet Boigny Airport,펠릭스 우푸에 부아니 공항,ABJ,DIAP,아프리카,Cote d'Ivoire,코트디부아르,Abidjan,아비장
Abilene Regional Airport,애빌린 지역 공항,ABI,KABI,북아메리카,United States of America,미국,Abilene,애빌린
Abingdon Virginia Highlands Airport,버지니아 하이랜드 공항,VJI,KVJI,북아메리카,United States of America,미국,Abingdon,애빙던
Abraham Lincoln Capital Airport,에이브러햄 링컨 캐피털 공항,SPI,KSPI,북아메리카,United States of America,미국,Springfield,스프링필드
Abu Dhabi Zayed International Airport,아부다비 국제공항,AUH,OMAA,중동,United Arab Emirates,아랍에미레이트,Abu Dhabi,아부다비
Abu Musa Airport,아부무사 공항,AEU,OIBA,중동,Iran,이란,Abu Musa,아부무사
Abu Simbel Airport,아부심벨 공항,ABS,HEBL,아프리카,Egypt,이집트,Abu Simbel,아부심벨
Abuja Nnamdi Azikiwe International Airport,남디 아지키웨 국제공항,ABV,DNAA,아프리카,Nigeria,나이지리아,Abuja,아부자
Acadiana Regional Airport,아카디아나 지역공항,ARA,KARA,북아메리카,United States of America,미국,Iberia,이베리아
Acandi Alcides Fernandez Airport,아칸디 알시데스 페르난데스 공항,ACD,SKAD,라틴아메리카,Colombia,콜롬비아,Acandi,아칸디
Acapulco Alvarez International Airport,아카풀코 알바레스 국제공항,ACA,MMAA,라틴아메리카,Mexico,멕시코,Acapulco,아카풀코
Acarigua Oswaldo Guevara Mujica Airport,오스왈도 게바라 무히카 공항,AGV,SVAC,라틴아메리카,Venezuela,베네수엘라,Acarigua,아카리과
Accra Kotoka International Airport,아크라 코토카 국제공항,ACC,DGAA,아프리카,Ghana,가나,Accra,아크라
Achutupo Airport,아추투포 공항,ACU,n/a,라틴아메리카,Panama,파나마,Achutupo,아추투포
Adado Airport,아다도 공항,AAD,HCAD,아프리카,Somalia,소말리아,Adado,아다도
Adak Island Naval Airport,아다크 섬 해군 공항,ADK,PADK,북아메리카,United States of America,미국,Adak,아다크
Adampur Airport,아담푸르 공항,AIP,VIAX,아시아태평양,India,인도,Adampur,아담푸르
Adana Sakirpasa Airport,아다나 사키르파사 공항,ADA,LTAF,중동,Turkiye,터키,Adana,아다나
Addis Ababa Bole International Airport,아디스아바바 볼레 국제공항,ADD,HAAB,아프리카,Ethiopia,이디오피아,Addisababa,아디스아바바
Adelaide Airport,애들레이드 공항,ADL,YPAD,아시아태평양,Australia,오스트레일리아,Adelaide,애들레이드
Adelaide Parafield Airport,애들레이드 파라필드 공항,PFD,YPPF,아시아태평양,Australia,오스트레일리아,Adelaide,애들레이드
Aden International Airport,아덴 국제공항,ADE,OYAA,중동,Yemen,예멘,Aden,아덴
Adiyaman Airport,아디야만 공항,ADF,LTCP,중동,Turkiye,터키,Adiyaman,아디야만
Adrar Touat Airport,아두라르 투아 공항,AZR,DAUA,아프리카,Algeria,알제리,Adrar,아드라르
Aek Godang Airport,애크고당공항,AEG,WIME,아시아태평양,Indonesia,인도네시아,Padang Sidempuan,파당시뎀푸안
Afutara Aerodrome,아푸타라 공항,AFT,n/a,아시아태평양,Solomon Islands,솔로몬 제도,Afutara,아푸타라
Agadez Mano Dayak International Airport,마노 다약 국제공항,AJY,DRZA,아프리카,Niger,니제르,Agadez,아가데즈
Agadir Al Massira Airport,아가디르 알 마시라 공항,AGA,GMAD,아프리카,Morocco,모로코,Agadir,아가디르
Agartala Singerbhil Airport,아가탈라 공항,IXA,VEAT,아시아태평양,India,인도,Agartala,아가르탈라
Agatti Island Airport,아가티 비행장,AGX,VOAT,아시아태평양,India,인도,Agatti,아가티
Agen La Garenne Airport,아겐 라 가렌느 공항,AGF,LFBA,유럽,France,프랑스,Agen,아쟁
Agra Kheria Airport,아그라 공항,AGR,VIAG,아시아태평양,India,인도,Agra,아그라
Agri Airport,아리 공항,AJI,LTCO,중동,Turkiye,터키,Agri,아리
Aguachica Hacaritama Airport,아과치카 하카리타마 공항,HAY,SKAG,라틴아메리카,Colombia,콜롬비아,Aguachica,아과치카
Aguaclara Airport,아과클라라 공항,ACL,n/a,라틴아메리카,Colombia,콜롬비아,Aguaclara,아과클라라
Aguadilla Rafael Hernandez Airport,라파엘 에르난데스 공항,BQN,TJBQ,북아메리카,Puerto Rico,푸에르토리코,Aguadilla,아과디야
Aguas Claras Airport,아구아스 클라라스 공항,OCV,SKOC,라틴아메리카,Colombia,콜롬비아,Ocana,오카냐
Aguascalientes Airport,헤수스 테란 페레도 국제공항,AGU,MMAS,라틴아메리카,Mexico,멕시코,Aguascalientes,아과스칼리엔테스
Aguni Airport,아구니 공항,AGJ,RORA,아시아태평양,Japan,일본,Aguni,아구니
Ahe Airport,아헤 공항,AHE,NTHE,아시아태평양,French Polynesia,프랑스령 폴리네시아,Ahe,아헤
Ahmedabad Sardar Vallabhbhai Patel International Airport,사르다르 발라바이 파텔 국제공항,AMD,VAAH,아시아태평양,India,인도,Ahmedabad,아메다바드
Ahwaz Airport,아바즈 국제공항,AWZ,OIAW,중동,Iran,이란,Ahvaz,아바즈
Ailinglapalap Airport,아이링라플랍 아이록 공항,AIC,n/a,아시아태평양,Marshall Islands,마샬 군도,Airok,아이록
Ailuk Island Airport,아일룩 공항,AIM,n/a,아시아태평양,Marshall Islands,마샬 군도,Ailuk,아일룩
Aitutaki Airport,아이투타키 공항,AIT,NCAI,아시아태평양,Cook Islands,쿡 군도,Aitutaki,아이투타키
Aizawl Lengpui Airport,렝푸이 공항,AJL,VELP,아시아태평양,India,인도,Aizawl,아이졸
Ajaccio Napoleon Bonaparte Airport,아작시오 나폴레옹 보나파르트 공항,AJA,LFKJ,유럽,France,프랑스,Ajaccio,아작시오
Aji Pangeran Tumenggung Pranoto International Airport,아지 프린스 투멍궁 프라노토 국제공항,AAP,WALS,아시아태평양,Indonesia,인도네시아,Samarinda,사마린다
Ajibata Sibisa Airport,시비사 공항,SIW,WIMP,아시아태평양,Indonesia,인도네시아,Parapat,파라팟
Ajmer Kishangarh Airport,아지메르 키샨가르 공항,KQH,VIKG,아시아태평양,India,인도,Kishangarh,키샨가르
Akhiok Sea Plane Base,아키오크 수상비행장,AKK,PAKH,북아메리카,United States of America,미국,Akhiok,아키오크
Akiachak Sea Plane Base,아키아착 수상비행장,KKI,n/a,북아메리카,United States of America,미국,Akiachak,아키아착
Akiak Airport,아키악 공항,AKI,PFAK,북아메리카,United States of America,미국,Akiak,아키악
Akita Airport,아키타 공항,AXT,RJSK,아시아태평양,Japan,일본,Akita,아키타
Aklavik Airport,아클라비크 공항,LAK,CYKD,북아메리카,Canada,캐나다,Aklavik,아클라비크
Akola Airport,아콜라 공항,AKD,VAAK,아시아태평양,India,인도,Akola,아콜라
Akron-Canton Airport,애크런 캔턴 공항,CAK,KCAK,북아메리카,United States of America,미국,Akron,애크런
Aksu Wensu Airport,악수 공항,AKU,ZWAK,아시아태평양,China,중국,Aksu,악수
Aktau Airport,악타우 공항,SCO,UATE,아시아태평양,Kazakhstan,카자흐스탄,Aktau,악타우
Aktobe Airport,악토베 공항,AKX,UATT,아시아태평양,Kazakhstan,카자흐스탄,Aktobe,악토베
Akulivik Airport,아쿨리비크 공항,AKV,CYKO,북아메리카,Canada,캐나다,Akulivik,아쿨리비크
Akunnaaq Heliport,아쿠나크 헬리포트,QCU,BGAK,유럽,Greenland,그린란드,Akunaaq,아쿠나크
Akure Airport,아쿠레 공항,AKR,DNAK,아프리카,Nigeria,나이지리아,Akure,아쿠레
Akureyri Airport,아쿠레이리 공항,AEY,BIAR,유럽,Iceland,아이슬란드,Akureyri,아쿠레이리
Akutan Airport,아쿠탄 공항,KQA,PAUT,북아메리카,United States of America,미국,Akutan,아쿠탄
Al Ain International Airport,알 아인 국제공항,AAN,OMAL,중동,United Arab Emirates,아랍에미레이트,Al Ain,알아인
Al Bateen Executive Airport,알 바틴 이그제큐티브 공항,AZI,OMAD,중동,United Arab Emirates,아랍에미레이트,Abu Dhabi,아부다비
Al Ghaydah Airport,알가이다 공항,AAY,n/a,중동,Yemen,예멘,Al Ghaydah,알가이다
Al Hoceima Cherif Al Idrissi Airport,체리프 알 이드리시 공항,AHU,GMTA,아프리카,Morocco,모로코,Al Hoceima,알호세이마
Al Jouf Airport,알 자우프 국내선 공항,AJF,OESK,중동,Saudi Arabia,사우디아라비아,Sakakah,사카카
Al Maktoum International Airport,알 막툼 국제공항,DWC,OMDW,중동,United Arab Emirates,아랍에미레이트,Dubai,두바이
Al Najaf Al-Ashraf International Airport,알 나자프 국제공항,NJF,ORNI,중동,Iraq,이라크,Al Najaf,나자프
Al Qaisumah-Hafar Al Batin Airport,알 카이수마/하프르 알 바틴 공항,AQI,OEPA,중동,Saudi Arabia,사우디아라비아,Qaisumah,카이수마
Al Ula Prince Abdul Majeed bin Abdulaziz Airport,프린스 압둘 마지드 빈 압둘아지즈 국내선 공항,ULH,OEAO,중동,Saudi Arabia,사우디아라비아,Alula,알울라
Al-Ahsa Airport,알아사 국제공항,HOF,OEAH,중동,Saudi Arabia,사우디아라비아,Hofuf,호푸프
Alakanuk Airport,알라카누크 공항,AUK,PAUK,북아메리카,United States of America,미국,Alakanuk,알라카누크
Alamogordo-White Sands Regional Airport,앨라모고도 화이트 샌즈 공항,ALM,KALM,북아메리카,United States of America,미국,Alamogordo,앨러모고도
Alar Talimu Airport,알라르 탈리무 공항,ACF,ZWAL,아시아태평양,China,중국,Alar,알라르
Albacete Airport,알바세테 공항,ABC,LEAB,유럽,Spain,스페인,Albacete,알바세테
Al-Baha Al-Aqiq Airport,알바하 알아키크 공항,ABT,OEBA,중동,Saudi Arabia,사우디아라비아,Al-Baha,알바하
Albany Airport,올버니 공항,ALH,YABA,아시아태평양,Australia,오스트레일리아,Albany,올버니
Albany International Airport,올버니 국제공항,ALB,KALB,북아메리카,United States of America,미국,Albany,올버니
Alberni Valley Regional Airport,알버니 밸리 지역공항,YPB,n/a,북아메리카,Canada,캐나다,Port Alberni,포트앨버니
Albert Picardie Airport,알버트 피카르디 공항,BYF,LFAQ,유럽,France,프랑스,Albert,알베르
Albuquerque International Sunport Airport,앨버커키 국제 선포트 공항,ABQ,KABQ,북아메리카,United States of America,미국,Albuquerque,앨버커키
Albury Airport,앨버리 공항,ABX,YMAY,아시아태평양,Australia,오스트레일리아,Albury,앨버리
Aldan Airport,알단 공항,ADH,UEEA,유럽,Russian Federation,러시아,Aldan,알단
Alderney Airport,올더니 공항,ACI,EGJA,유럽,Guernsey,건지,Alderney,올더니
Alegrete Gaudencio Machado Ramos Airport,알레그레테 공항,ALQ,SSLT,라틴아메리카,Brazil,브라질,Alegrete,알레그레테
Aleknagik Airport,알렉나직 공항,WKK,n/a,북아메리카,United States of America,미국,Aleknagik,알렉나직
Aleppo Nejrab Airport,알레포 국제공항,ALP,OSAP,중동,Syria,시리아,Aleppo,알레포
Alesund Airport,올레순비그라 공항,AES,ENAL,유럽,Norway,노르웨이,Alesund,올레순
Alexandra Airport,알렉산드라 비행장,ALR,NZLX,아시아태평양,New Zealand,뉴질랜드,Alexandra,알렉산드라
Alexandria Borg el Arab Airport,보르그 엘 아랍 공항,HBE,HEBA,아프리카,Egypt,이집트,Borg El Arab,보르그엘아랍
Alexandria International Airport,알렉산드리아 국제공항,AEX,KAEX,북아메리카,United States of America,미국,Alexandria,알렉산드리아
Alexandroupolis Dimokritos Airport,알렉산드로폴리 공항,AXD,LGAL,유럽,Greece,그리스,Alexandroupoli,알렉산드로폴리
Algeciras Heliport,알헤시라스 헬리포트,AEI,LEAG,유럽,Spain,스페인,Algeciras,알헤시라스
Alghero Fertilia Airport,알게로 페르틸리아 공항,AHO,LIEA,유럽,Italy,이탈리아,Alghero,알게로
Algiers Houari Boumediene Airport,후아리 부메디엔 공항,ALG,DAAG,아프리카,Algeria,알제리,Algiers,알제
Ali Pulan Airport,알리 풀란 공항,APJ,ZUPL,아시아태평양,China,중국,Ali,알리
Alicante Elche Miguel Hernandez Airport,알리칸테 엘체 공항,ALC,LEAL,유럽,Spain,스페인,Alicante,알리칸테
Alice International Airport,앨리스 국제공항,ALI,KALI,북아메리카,United States of America,미국,Alice,앨리스
Alice Springs Airport,앨리스 스프링스 공항,ASP,YBAS,아시아태평양,Australia,오스트레일리아,Alice Springs,앨리스스프링스
Aligarh Airport,알리가르 공항,HRH,VIAH,아시아태평양,India,인도,Aligarh,알리가르
Alitak Sea Plane Base,알리탁 수상비행장,ALZ,n/a,북아메리카,United States of America,미국,Lazy Bay,레이지베이
Allahabad Bamrauli Airport,알라하바드 공항,IXD,VIAL,아시아태평양,India,인도,Allahabad,알라하바드
Allakaket Airport,알라카켓 공항,AET,n/a,북아메리카,United States of America,미국,Allakaket,알라카켓
Allentown Lehigh Valley International Airport,리하이 밸리 국제공항,ABE,KABE,북아메리카,United States of America,미국,Allentown,앨런타운
Alliance Municipal Airport,얼라이언스 공항,AIA,KAIA,북아메리카,United States of America,미국,Alliance,얼라이언스
Alma Airport,알마 공항,YTF,CYTF,북아메리카,Canada,캐나다,Alma,알마
Almaty International Airport,알마티 국제공항,ALA,UAAA,아시아태평양,Kazakhstan,카자흐스탄,Almaty,알마티
Almeria Airport,알메리아 공항,LEI,LEAM,유럽,Spain,스페인,AlmerIa,알메리아
Along Airport,알라오 공항,IXV,VEAN,아시아태평양,India,인도,Along,알롱
Alor Island Airport,알로르 아일랜드 공항,ARD,WATM,아시아태평양,Indonesia,인도네시아,Alor,알로르
Alor Setar Airport,술탄 압둘 할림 공항,AOR,WMKA,아시아태평양,Malaysia,말레이시아,Alor Setar,알로르세타르
Alotau Gurney Airport,거니 공항,GUR,AYGN,아시아태평양,Papua New Guinea,파푸아뉴기니,Alotau,알로타우
Alpena County Regional Airport,앨피너 카운티 공항,APN,KAPN,북아메리카,United States of America,미국,Alpena,앨피너
Alpine-Casparis Municipal Airport,알파인 카스파리 시립공항,ALE,n/a,북아메리카,United States of America,미국,Alpine,알파인
Alta Airport,알타 공항,ALF,ENAT,유럽,Norway,노르웨이,Alta,알타
Alta Floresta Airport,알타 플로레스타 공항,AFL,SBAT,라틴아메리카,Brazil,브라질,Alta Floresta,알타플로레스타
Altai Airport,알타이 공항,LTI,ZMAT,아시아태평양,Mongolia,몽골,Altai,알타이
Altamira Airport,알타미라 공항,ATM,SBHT,라틴아메리카,Brazil,브라질,Altamira,알타미라
Altay Airport,알타이 공항,AAT,ZWAT,아시아태평양,China,중국,Altay,알타이
